dataset,method,k,sigma,fold,example,unit,n_frames,k_pred,acc,nmi,ari,seconds
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,274,5,0.667883,0.697532,0.502172,4.63
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,225,5,0.684444,0.743215,0.605609,3.15
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,132,5,0.696970,0.784842,0.629377,1.10
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,298,5,0.926174,0.874704,0.821444,5.53
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,296,5,0.398649,0.580181,0.267211,5.47
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,108,5,0.851852,0.778121,0.691559,0.74
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,337,5,0.590504,0.629657,0.392868,7.33
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,328,5,0.649390,0.713636,0.582312,6.82
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,191,5,0.722513,0.793130,0.646035,2.20
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,342,5,0.517544,0.646082,0.457461,7.67
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,276,5,0.612319,0.680961,0.453626,4.78
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,231,5,0.878788,0.798958,0.754971,3.30
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,345,5,0.585507,0.651463,0.450862,7.71
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,329,5,0.507599,0.584478,0.359057,6.87
surveillance,BD-OSC,5,0.25,0,0,0006 0013 0014 0022 0027,196,5,0.846939,0.834071,0.718188,2.37
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,283,5,0.611307,0.716830,0.511095,5.11
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,231,5,0.662338,0.631333,0.440142,3.36
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,98,5,0.826531,0.734971,0.637094,0.72
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,291,5,0.639175,0.578165,0.365058,5.35
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,236,5,0.766949,0.771799,0.683276,3.32
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,173,5,0.612717,0.671264,0.499593,1.91
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,258,5,0.585271,0.595064,0.380522,4.23
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,232,5,0.543103,0.606351,0.411108,3.31
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,183,5,0.710383,0.711092,0.595024,2.14
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,274,5,0.766423,0.688251,0.519781,4.66
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,225,5,0.684444,0.666565,0.488186,3.17
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,132,5,0.734848,0.664319,0.508539,1.15
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,298,5,0.600671,0.588640,0.364849,5.53
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,296,5,0.618243,0.638130,0.456136,5.46
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,108,5,0.675926,0.666170,0.491537,0.80
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,337,5,0.685460,0.714559,0.575510,7.44
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,328,5,0.634146,0.654463,0.489771,6.90
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,191,5,0.507853,0.617122,0.360743,2.26
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,342,5,0.619883,0.714980,0.537762,7.76
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,276,5,0.536232,0.563429,0.329716,4.82
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,231,5,0.532468,0.625244,0.342158,3.35
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,345,5,0.527536,0.654449,0.421135,7.66
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,329,5,0.574468,0.578957,0.354808,6.94
surveillance,BD-OSC,5,0.5,0,0,0006 0013 0014 0022 0027,196,5,0.596939,0.652916,0.441341,2.40
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,413,8,0.866828,0.840527,0.734471,10.53
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,335,8,0.788060,0.874610,0.767930,6.26
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,148,8,0.912162,0.885907,0.840937,1.25
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,432,8,0.634259,0.726882,0.488853,12.06
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,346,8,0.893064,0.882980,0.769489,6.85
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,259,8,0.953668,0.921239,0.905843,3.72
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,385,8,0.540260,0.693390,0.398626,9.08
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,331,8,0.782477,0.859691,0.725438,6.25
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,256,8,0.945312,0.913663,0.867769,4.09
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,418,8,0.846890,0.831298,0.710653,10.95
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,341,8,0.964809,0.935203,0.927208,7.19
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,214,8,0.869159,0.864482,0.778883,2.46
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,447,8,0.785235,0.871321,0.734281,12.96
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,424,8,0.964623,0.939095,0.925136,11.36
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,168,8,0.761905,0.820902,0.693407,1.51
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,511,8,0.706458,0.800041,0.610237,22.19
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,471,8,0.772824,0.764417,0.590018,14.82
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,275,8,0.789091,0.845336,0.739958,4.11
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,517,8,0.707930,0.806890,0.587988,19.41
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,430,8,0.713953,0.789920,0.630889,11.67
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,348,8,0.954023,0.922613,0.898191,7.13
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,506,8,0.794466,0.856972,0.732182,18.07
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,472,8,0.652542,0.743636,0.507815,14.91
surveillance,BD-OSC,8,0,0,0,0004 0006 0009 0013 0014 0022 0026 0027,274,8,0.934307,0.914800,0.837918,4.13
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,413,8,0.622276,0.733368,0.516299,11.99
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,335,8,0.588060,0.718256,0.496802,7.17
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,148,8,0.709459,0.769764,0.598254,1.40
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,432,8,0.673611,0.717572,0.481280,13.51
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,346,8,0.734104,0.799857,0.570845,7.89
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,259,8,0.675676,0.792277,0.605285,4.27
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,385,8,0.607792,0.754328,0.547009,10.19
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,331,8,0.776435,0.772398,0.618621,7.07
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,256,8,0.785156,0.844700,0.727781,4.76
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,418,8,0.801435,0.786120,0.632115,12.15
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,341,8,0.665689,0.749587,0.542656,8.49
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,214,8,0.911215,0.893402,0.824231,2.84
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,447,8,0.588367,0.751441,0.534677,14.53
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,424,8,0.625000,0.723562,0.461747,12.71
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,168,8,0.916667,0.885619,0.820539,1.71
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,511,8,0.553816,0.710567,0.435075,25.31
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,471,8,0.622081,0.752518,0.554007,16.46
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,275,8,0.836364,0.816704,0.683009,4.68
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,517,8,0.593810,0.723749,0.496692,21.85
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,430,8,0.669767,0.738384,0.537630,13.04
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,348,8,0.715517,0.789075,0.583990,7.97
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,506,8,0.634387,0.723719,0.530046,20.40
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,472,8,0.603814,0.697818,0.441093,16.65
surveillance,BD-OSC,8,0.25,0,0,0004 0006 0009 0013 0014 0022 0026 0027,274,8,0.828467,0.813293,0.667625,4.69
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,413,8,0.561743,0.654768,0.345360,11.96
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,335,8,0.600000,0.677846,0.379325,7.36
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,148,8,0.709459,0.765482,0.587146,1.51
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,432,8,0.502315,0.672888,0.336378,13.70
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,346,8,0.687861,0.751267,0.574071,7.99
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,259,8,0.637066,0.738852,0.520483,4.39
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,385,8,0.654545,0.749936,0.540105,10.28
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,331,8,0.564955,0.705966,0.430615,7.25
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,256,8,0.761719,0.809918,0.680438,4.82
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,418,8,0.641148,0.724180,0.429391,12.39
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,341,8,0.580645,0.723130,0.475546,8.40
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,214,8,0.677570,0.744064,0.539211,2.93
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,447,8,0.525727,0.695044,0.417436,14.70
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,424,8,0.575472,0.701242,0.461005,13.00
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,168,8,0.928571,0.898307,0.852148,1.80
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,511,8,0.544031,0.691110,0.432589,25.63
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,471,8,0.454352,0.682079,0.353340,16.75
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,275,8,0.720000,0.764367,0.562942,4.87
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,517,8,0.510638,0.667115,0.412662,22.23
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,430,8,0.602326,0.704377,0.467869,13.26
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,348,8,0.528736,0.660854,0.355353,8.16
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,506,8,0.662055,0.705951,0.511842,20.83
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,472,8,0.724576,0.762405,0.565498,16.76
surveillance,BD-OSC,8,0.5,0,0,0004 0006 0009 0013 0014 0022 0026 0027,274,8,0.770073,0.823571,0.672741,4.82
surveillance,TKSS,3,0,0,0,0006 0013 0022,182,3,0.884615,0.741888,0.710056,0.05
surveillance,TKSS,3,0,0,0,0006 0013 0022,147,3,0.904762,0.781893,0.751774,0.01
surveillance,TKSS,3,0,0,0,0006 0013 0022,58,3,0.879310,0.705893,0.656525,0.01
surveillance,TKSS,3,0,0,0,0006 0013 0022,180,3,0.933333,0.809732,0.819342,0.07
surveillance,TKSS,3,0,0,0,0006 0013 0022,146,3,0.897260,0.744261,0.729007,0.03
surveillance,TKSS,3,0,0,0,0006 0013 0022,113,3,0.858407,0.685674,0.643843,0.04
surveillance,TKSS,3,0,0,0,0006 0013 0022,166,3,0.891566,0.746538,0.719101,0.02
surveillance,TKSS,3,0,0,0,0006 0013 0022,147,3,0.891156,0.788373,0.728020,0.02
surveillance,TKSS,3,0,0,0,0006 0013 0022,118,3,0.881356,0.730977,0.683534,0.01
surveillance,TKSS,3,0,0,0,0006 0013 0022,166,3,0.903614,0.762360,0.745103,0.05
surveillance,TKSS,3,0,0,0,0006 0013 0022,141,3,0.886525,0.710397,0.677075,0.02
surveillance,TKSS,3,0,0,0,0006 0013 0022,90,3,0.922222,0.795171,0.780787,0.01
surveillance,TKSS,3,0,0,0,0006 0013 0022,173,3,0.942197,0.838329,0.839287,0.02
surveillance,TKSS,3,0,0,0,0006 0013 0022,196,3,0.903061,0.770179,0.739568,0.02
surveillance,TKSS,3,0,0,0,0006 0013 0022,60,3,0.966667,0.879110,0.900419,0.01
surveillance,TKSS,3,0,0,0,0006 0013 0022,200,3,0.950000,0.839775,0.854762,0.07
surveillance,TKSS,3,0,0,0,0006 0013 0022,206,3,0.902913,0.737698,0.719966,0.03
surveillance,TKSS,3,0,0,0,0006 0013 0022,119,3,0.873950,0.698971,0.650675,0.01
surveillance,TKSS,3,0,0,0,0006 0013 0022,219,3,0.899543,0.761878,0.735596,0.05
surveillance,TKSS,3,0,0,0,0006 0013 0022,168,3,0.994048,0.972771,0.982089,0.02
surveillance,TKSS,3,0,0,0,0006 0013 0022,151,3,0.814570,0.608301,0.509164,0.06
surveillance,TKSS,3,0,0,0,0006 0013 0022,218,3,0.899083,0.742324,0.729954,0.04
surveillance,TKSS,3,0,0,0,0006 0013 0022,195,3,0.958974,0.883467,0.882172,0.06
surveillance,TKSS,3,0,0,0,0006 0013 0022,112,3,0.848214,0.657833,0.587197,0.01
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,182,3,0.895604,0.702598,0.694106,0.08
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,147,3,0.972789,0.914798,0.932534,0.05
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,58,3,0.879310,0.705893,0.656525,0.01
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,180,3,0.977778,0.910454,0.932779,0.03
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,146,3,0.917808,0.734898,0.764637,0.04
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,113,3,1.000000,1.000000,1.000000,0.03
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,166,3,0.524096,0.363956,0.236468,0.17
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,147,3,0.863946,0.676619,0.606620,0.10
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,118,3,0.974576,0.897856,0.919191,0.03
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,166,3,0.843373,0.617501,0.561885,0.10
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,141,3,0.964539,0.858820,0.898492,0.04
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,90,3,0.944444,0.831684,0.837260,0.03
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,173,3,0.988439,0.953825,0.965605,0.06
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,196,3,0.653061,0.481697,0.352584,0.09
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,60,3,0.983333,0.939722,0.950879,0.02
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,200,3,0.950000,0.844949,0.856045,0.04
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,206,3,0.975728,0.917733,0.925923,0.04
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,119,3,0.823529,0.707826,0.549670,0.03
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,219,3,0.735160,0.455268,0.423427,0.08
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,168,3,0.976190,0.921103,0.930326,0.03
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,151,3,0.874172,0.693087,0.641033,0.04
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,218,3,0.986239,0.945817,0.955451,0.04
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,195,3,0.953846,0.856203,0.859380,0.04
surveillance,TKSS,3,0.25,0,0,0006 0013 0022,112,3,0.776786,0.636802,0.457844,0.06
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,182,3,0.923077,0.755030,0.771846,0.07
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,147,3,0.986395,0.947377,0.960874,0.05
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,58,3,0.879310,0.705893,0.656525,0.00
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,180,3,0.966667,0.884282,0.898229,0.03
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,146,3,0.945205,0.822639,0.840979,0.04
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,113,3,0.929204,0.813583,0.813461,0.02
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,166,3,0.903614,0.783541,0.754008,0.02
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,147,3,0.965986,0.872459,0.897770,0.05
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,118,3,0.974576,0.897856,0.919191,0.03
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,166,3,0.933735,0.799007,0.806573,0.06
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,141,3,0.978723,0.911848,0.933875,0.04
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,90,3,0.922222,0.795171,0.780787,0.01
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,173,3,0.994220,0.973281,0.982607,0.04
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,196,3,0.647959,0.481012,0.350828,0.08
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,60,3,0.983333,0.939722,0.950879,0.01
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,200,3,0.955000,0.862341,0.870771,0.02
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,206,3,0.956311,0.862984,0.872484,0.02
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,119,3,0.840336,0.721302,0.579222,0.03
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,219,3,0.753425,0.415116,0.388951,0.08
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,168,3,0.982143,0.936161,0.947246,0.02
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,151,3,0.907285,0.741240,0.731752,0.04
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,218,3,0.977064,0.910735,0.928632,0.05
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,195,3,0.989744,0.957034,0.967109,0.02
surveillance,TKSS,3,0.5,0,0,0006 0013 0022,112,3,0.866071,0.741602,0.625438,0.03
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,283,5,0.784452,0.729641,0.623224,0.07
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,231,5,0.822511,0.760173,0.672008,0.06
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,98,5,0.826531,0.744656,0.641555,0.04
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,291,5,0.807560,0.730366,0.631217,0.07
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,236,5,0.750000,0.704184,0.579093,0.06
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,173,5,0.705202,0.674258,0.522856,0.05
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,258,5,0.728682,0.695010,0.561909,0.06
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,232,5,0.698276,0.705802,0.569777,0.06
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,183,5,0.721311,0.720570,0.585508,0.05
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,274,5,0.857664,0.778831,0.710964,0.13
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,225,5,0.804444,0.732003,0.624568,0.06
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,132,5,0.878788,0.802817,0.728780,0.04
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,298,5,0.909396,0.826053,0.790930,0.07
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,296,5,0.793919,0.742947,0.640492,0.07
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,108,5,0.935185,0.876944,0.848667,0.04
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,337,5,0.922849,0.841084,0.817776,0.43
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,328,5,0.804878,0.722434,0.614562,0.07
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,191,5,0.727749,0.703732,0.566421,0.05
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,342,5,0.821637,0.753784,0.665389,0.08
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,276,5,0.967391,0.921851,0.921186,0.06
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,231,5,0.731602,0.704722,0.562187,0.06
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,345,5,0.878261,0.802152,0.749401,0.15
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,329,5,0.890578,0.815750,0.766770,0.08
surveillance,TKSS,5,0,0,0,0006 0013 0014 0022 0027,196,5,0.857143,0.788847,0.699186,0.05
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,283,5,0.784452,0.729641,0.623224,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,231,5,0.818182,0.758094,0.666739,0.03
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,98,5,0.826531,0.744656,0.641555,0.01
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,291,5,0.817869,0.738875,0.654733,0.07
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,236,5,0.754237,0.705088,0.581254,0.03
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,173,5,0.705202,0.674258,0.522856,0.01
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,258,5,0.728682,0.695010,0.561909,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,232,5,0.711207,0.736062,0.600655,0.05
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,183,5,0.726776,0.736355,0.598867,0.03
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,274,5,0.857664,0.777807,0.708948,0.04
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,225,5,0.804444,0.732003,0.624568,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,132,5,0.878788,0.802817,0.728780,0.01
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,298,5,0.919463,0.851050,0.815624,0.05
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,296,5,0.793919,0.742947,0.640492,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,108,5,0.944444,0.900503,0.872547,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,337,5,0.943620,0.883328,0.867402,0.04
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,328,5,0.804878,0.722434,0.614562,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,191,5,0.727749,0.703732,0.566421,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,342,5,0.821637,0.748834,0.664812,0.06
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,276,5,0.967391,0.921851,0.921186,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,231,5,0.731602,0.704722,0.562187,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,345,5,0.878261,0.803402,0.749430,0.02
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,329,5,0.893617,0.822933,0.774215,0.04
surveillance,TKSS,5,0.25,0,0,0006 0013 0014 0022 0027,196,5,0.857143,0.788847,0.699186,0.02
surveillance,TKSS,5,0.5,0,0,0006 0013 0014 0022 0027,283,5,0.840989,0.760925,0.672081,0.11
surveillance,TKSS,5,0.5,0,0,0006 0013 0014 0022 0027,231,5,0.792208,0.789569,0.677493,0.10
surveillance,TKSS,5,0.5,0,0,0006 0013 0014 0022 0027,98,5,0.867347,0.775423,0.716249,0.05
surveillance,TKSS,5,0.5,0,0,0006 0013 0014 0022 0027,291,5,0.659794,0.544157,0.406771,0.21
